Modulation_Type,Bandwidth,Symbol_Rate,PAPR,Mod_Index,Spectral_Entropy,Freq_Variance,Phase
8PSK,22.965429868602328,3.3668695797323274,1.9356292003273232,1.5968501579464869,3.9458327528535913,0.7999749158180028,90.0
FSK,8.337086111390217,1.7857336358438816,2.4763327094232794,2.1128231580542005,3.582998158400237,2.4201185217204753,5.019469146025358
BPSK,7.322370567394016,1.611653160488281,1.0035331526098588,0.5230624250414158,2.7871619903875837,0.4399165830291533,180.0
PM,8.824619912671627,3.9580772145169707,1.70014433987197,2.719880813472641,4.0204613078816696,0.950499251969543,30.79589766959199
OFDM,49.31264066149119,9.233589392465845,7.218455076693482,1.0976721140063839,6.368466053024314,1.1602287406094018,43.93376454412038
FSK,5.343885211152184,3.318640804157564,1.8881699724000254,3.325044568707964,2.9675666141341166,1.876088427531154,18.66775698358199
QPSK,10.313132924555585,3.6845695491899972,1.4497541333697657,1.3951502360018144,3.926658865793794,1.2272719958564209,180.0
FSK,10.704439744053994,2.5416685200516476,2.941758036524024,3.689067697356303,3.6209801652060714,1.9015997721058038,19.668779141596204
OFDM,35.61869019374762,8.170784332632994,6.563696899899051,1.8021969807540397,5.149101287359541,1.980330404900776,278.0081169467967
FSK,5.055221171236024,3.1309228569096685,2.5602860157714256,3.4580143360819746,3.6569055200289187,1.2962580472543175,13.961643213606814
OFDM,48.29919351087561,9.400154311159197,7.7978026965528136,1.0954101164904113,5.741636504396533,1.5032618789954109,239.73204838229879
FSK,7.747217929900642,2.6224868516954025,2.074390312130685,3.9434241907782077,3.7733707363991256,2.1382483775143353,10.899622993723893
8PSK,15.404335895384314,4.421325779371575,1.1330689849741975,1.4393365018657702,3.701719202335396,1.5957635956735192,0.0
QAM,25.632755719763836,5.391032172852255,2.5573258176235028,1.6044173792778174,5.079682182603346,0.44214285731433856,339.4272854008732
8PSK,17.89751452913768,3.322442574508009,2.1156371828110876,1.808120379564417,4.133403756510424,1.5714605901877177,135.0
QAM,28.92558998489978,5.078684483831301,5.229760620656251,1.8960912999234933,4.636006949943727,0.37703634716937373,82.056658515099
OFDM,46.36029531844986,9.442922333025374,6.027808522124763,1.5107473025775657,5.834822006297558,0.8331617157060953,43.15153224012581
FSK,14.429097039125192,2.1464058640415105,2.278185932615049,3.4060379177903557,3.0454444035689407,2.463316707537249,29.061182373552782
